"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"THST","Truett-Hurst, Inc.","n/a","0","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/thst",
"TSRI","TSR, Inc.","3.03","5945047.86","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/tsri",
"TFCO","Tufco Technologies, Inc.","6.25","26930918.75","n/a","1994","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/tfco",
"USCR","U S Concrete, Inc.","16.1","216601736.4","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/uscr",
"USEG","U.S. Energy Corp.","1.83","50659161.66","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/useg",
"GROW","U.S. Global Investors, Inc.","2.84","39376489.24","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/grow",
"UFPT","UFP Technologies, Inc.","19.36","131589126.24","n/a","1993","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/ufpt",
"UNXL","Uni-Pixel, Inc.","19.78","237844352.86","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/unxl",
"UBCP","United Bancorp, Inc.","7.16","38290305.28","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ubcp",
"UIHC","United Insurance Holdings Corp.","6.38","103348592.82","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/uihc",
"USBI","United Security Bancshares, Inc.","8.66","52164566.52","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/usbi",
"UBPS","Universal Business Payment Solutions Acquisition Corporation","3.4","39198919.6","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/ubps",
"URRE","Uranium Resources, Inc.","2.82","55897140.42","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/urre",
"ULGX","Urologix, Inc.","0.48","10036287.36","n/a","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ulgx",
"UPI","Uroplasty, Inc.","2.23","46864747.86","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/upi",
"USMD","USMD Holdings, Inc.","13.9","140119102.9","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/usmd",
"VYFC","Valley Financial Corporation","9.75","46731369.75","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/vyfc",
"VLYWW","Valley National Bancorp","0.1113","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/vlyww",
"VDSI","VASCO Data Security International, Inc.","8.52","336471005.04","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/vdsi",
"APPY","Venaxis, Inc.","1.33","13239325.4","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/appy",
"VTUS","Ventrus Biosciences, Inc.","2.61","51167353.5","n/a","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vtus",
"VRML","Vermillion, Inc.","3.81","88442467.26","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/vrml",
"VTNR","Vertex Energy, Inc","2.94","51112931.94","n/a","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/vtnr",
"VBFC","Village Bank and Trust Financial Corp.","1.929","8201712.555","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/vbfc",
"VSCP","VirtualScopics, Inc.","0.59","17581718.57","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/vscp",
"VSCI","Vision-Sciences, Inc.","1.05","48526145.85","n/a","1992","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/vsci",
"VLTC","Voltari Corporation","4.499","21024677.311","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vltc",
"VRNG","Vringo, Inc.","3.21","265624588.53","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/vrng",
"VRNGW","Vringo, Inc.","1.1999","0","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/vrngw",
"WFBI","WashingtonFirst Bankshares Inc","11.2999","70345301.3697","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wfbi",
"WAVX","Wave Systems Corp.","0.375","42381265.875","n/a","1994","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/wavx",
"WEBM","WebMediaBrands Inc","1.33","8009902.39","n/a","2000","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/webm",
"WEBK","Wellesley Bancorp, Inc.","17.4","42812526","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/webk",
"WBB","Westbury Bancorp, Inc.","13.48","69321452.68","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wbb",
"WHLR","Wheeler Real Estate Investment Trust, Inc.","6.0101","19842357.1702","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/whlr",
"WVVI","Willamette Valley Vineyards, Inc.","4.4799","21493278.9486","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/wvvi",
"WBKC","Wolverine Bancorp, Inc.","18.75","45970800","n/a","2011","Finance","Banks","http://www.nasdaq.com/symbol/wbkc",
"XWES","World Energy Solutions Inc (DE)","3.9","47250921.9","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xwes",
"WPCS","WPCS International Incorporated","3.84","0","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/wpcs",
"WSCI","WSI Industries Inc.","5.49","15940544.4","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wsci",
"XBKS","Xenith Bankshares, Inc.","5.26","54956795.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/xbks",
"XPLR","Xplore Technologies Corp","3.42","28691621.46","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/xplr",
"XRSC","XRS Corporation","2.199","23867512.797","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/xrsc",
"YOD","You On Demand Holdings, Inc.","1.71","25388987.31","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/yod",
"ZLCS","Zalicus Inc.","0.6343","80724098.1608","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/zlcs",
"ZAZA","ZaZa Energy Corporation","1.4","143517815","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zaza",
"ZHNE","Zhone Technologies, Inc.","0.9121","28384954.2361","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/zhne",
"ZIOP","ZIOPHARM Oncology Inc","2.35","196372530.65","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ziop",
"ZOOM","Zoom Technologies, Inc.","0.3899","11511863.0032","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/zoom",
