公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
2460,赣锋锂业,江西赣锋锂业股份有限公司,"GANFENG LITHIUM CO.,LTD.",江西省新余市经济开发区龙腾路,2460,赣锋锂业,2010-08-10,152801000,80337120,,,,0,0,华东,江西,新余市,C 制造业,www.ganfenglithium.com
2461,珠江啤酒,广州珠江啤酒股份有限公司,"GUANGZHOU ZHUJIANG BREWERY CO.,LTD",广东省广州市海珠区新港东路磨碟沙大街118号,2461,珠江啤酒,2010-08-18,680161768,139817300,,,,0,0,华南,广东,广州市,C 制造业,www.zhujiangbeer.com
2462,嘉事堂,嘉事堂药业股份有限公司,"Cachet Pharmaceutical Co., Ltd.",北京市海淀区昆明湖南路11号1号楼,2462,嘉事堂,2010-08-18,240000000,193150279,,,,0,0,华北,北京,北京市,F 批发零售,www.cachet.com.cn
2463,沪电股份,沪士电子股份有限公司,"WUS PRINTED CIRCUIT (KUNSHAN) CO.,LTD",江苏省昆山市黑龙江北路55号,2463,沪电股份,2010-08-18,1395133136,900608767,,,,0,0,华东,江苏,苏州市,C 制造业,www.wuscn.com
2464,金利科技,昆山金利表面材料应用科技股份有限公司,"KEE EVER BRIGHT DECORATIVE TECHNOLOGY CO., LTD.",江苏省昆山市经济技术开发区昆嘉路1098号,2464,金利科技,2010-08-31,145589953,36500000,,,,0,0,华东,江苏,苏州市,C 制造业,www.kebdt.com
2465,海格通信,广州海格通信集团股份有限公司,GUANGZHOU HAIGE COMMUNICATIONS GROUP INCORPORATED COMPANY,广东省广州市高新技术产业开发区科学城海云路88号,2465,海格通信,2010-08-31,332506510,85000000,,,,0,0,华南,广东,广州市,C 制造业,www.haige.com
2466,天齐锂业,四川天齐锂业股份有限公司,"Sichuan Tianqi Lithium Industries, Inc.",四川省射洪县太和镇城北太空村,2466,天齐锂业,2010-08-31,147000000,38595000,,,,0,0,西南,四川,遂宁市,C 制造业,www.likunda-china.com
2467,二六三,二六三网络通信股份有限公司,Net263 Ltd.,北京市昌平区城区镇超前路13号,2467,二六三,2010-09-08,240000000,132661401,,,,0,0,华北,北京,北京市,I 信息技术,www.net263.com
2468,艾迪西,浙江艾迪西流体控制股份有限公司,"Zhejiang IDC Fluid Control Co.,Ltd.",浙江省玉环县机电工业园区,2468,艾迪西,2010-09-08,276480000,103956480,,,,0,0,华东,浙江,台州市,C 制造业,www.idcgroup.com.cn
2469,三维工程,山东三维石化工程股份有限公司,"SHANDONG SUNWAY PETROCHEMICAL ENGINEERING CO.,LTD.",山东省淄博市临淄区炼厂中路22号,2469,三维工程,2010-09-08,253383513,78795000,,,,0,0,华东,山东,淄博市,M 科研服务,www.sdsunway.com.cn
2470,金正大,山东金正大生态工程股份有限公司,"Shandong Kingenta Ecological Engineering Co.,Ltd.",山东省临沭县兴大西街19号,2470,金正大,2010-09-08,700000000,250000000,,,,0,0,华东,山东,临沂市,C 制造业,www.kingenta.com
2471,中超电缆,江苏中超电缆股份有限公司,"Jiangsu Zhongchao Cable CO.,LTD.",江苏省宜兴市西郊工业园振丰东路999号,2471,中超电缆,2010-09-10,253600000,68444558,,,,0,0,华东,江苏,无锡市,C 制造业,www.zcdlgf.com
2472,双环传动,浙江双环传动机械股份有限公司,"ZHEJIANG SHUANGHUAN DRIVELINE CO.,LTD",浙江省玉环县机电工业园区1-14号,2472,双环传动,2010-09-10,277992000,107892720,,,,0,0,华东,浙江,台州市,C 制造业,www.gearsnet.com
2473,圣莱达,宁波圣莱达电器股份有限公司,"NINGBO SUNLIGHT ELECTRICAL APPLIANCE CO.,LTD.",浙江省宁波市江北区金山路298号,2473,圣莱达,2010-09-10,160000000,52800000,,,,0,0,华东,浙江,宁波市,C 制造业,www.nbslt.com
2474,榕基软件,福建榕基软件股份有限公司,"Fujian Rongji Software Co., Ltd.",福建省福州市鼓楼区铜盘路福州软件园产业基地,2474,榕基软件,2010-09-15,311100000,130900679,,,,0,0,华东,福建,福州市,I 信息技术,www.rongji.com
2475,立讯精密,立讯精密工业股份有限公司,"Luxshare Precision Industry Co.,LTD.",广东省深圳市宝安区西乡街道洲石路翻身工业厂房G1（1-3层）,2475,立讯精密,2010-09-15,364980000,91980000,,,,0,0,华南,广东,深圳市,C 制造业,www.luxshare.com.cn
2476,宝莫股份,山东宝莫生物化工股份有限公司,"SHANDONG POLYMER BIOCHEMICALS CO.,LTD.",山东省东营市东营区西四路892号,2476,宝莫股份,2010-09-15,612000000,300853463,,,,0,0,华东,山东,东营市,C 制造业,www.slcapam.com
2477,雏鹰农牧,雏鹰农牧集团股份有限公司,"CHUYING AGRO-PASTORAL GROUP CO.,LTD",河南省新郑市薛店镇,2477,雏鹰农牧,2010-09-15,534000000,228782858,,,,0,0,华中,河南,郑州市,A 农林牧渔,www.chu-ying.com
2478,常宝股份,江苏常宝钢管股份有限公司,"Jiangsu Changbao Steeltube Co., Ltd.",江苏省常州市延陵东路558号,2478,常宝股份,2010-09-21,400100000,69468050,,,,0,0,华东,江苏,常州市,C 制造业,www.cbsteeltube.com
2479,富春环保,浙江富春江环保热电股份有限公司,"Zhejiang Fuchunjiang Environmental Thermoelectric Co.,LTD.",浙江省富阳市灵桥镇春永路188号,2479,富春环保,2010-09-21,737800000,444720000,,,,0,0,华东,浙江,杭州市,D 水电煤气,www.zhefuet.com
2480,新筑股份,成都市新筑路桥机械股份有限公司,"Chengdu Xinzhu Road&Bridge Machinery Co.,LTD",四川省成都市四川新津工业园区,2480,新筑股份,2010-09-21,280000000,158530886,,,,0,0,西南,四川,成都市,C 制造业,www.xinzhu.com
2481,双塔食品,烟台双塔食品股份有限公司,"YAN TAI SHUANG TA FOOD CO.,LTD,",山东省招远市金岭镇寨里,2481,双塔食品,2010-09-21,216000000,104043914,,,,0,0,华东,山东,烟台市,C 制造业,www.shuangtafensi.com
2482,广田股份,深圳广田装饰集团股份有限公司,"SHENZHEN GRANDLAND DECORATION GROUP CO.,LTD.",广东省深圳市罗湖区沿河北路1003号京基东方都会大厦1-2层,2482,广田股份,2010-09-29,514850500,164253863,,,,0,0,华南,广东,深圳市,E 建筑业,www.szgt.com
2483,润邦股份,江苏润邦重工股份有限公司,"Jiangsu Rainbow Heavy Industries Co.,Ltd.",江苏省南通经济技术开发区振兴西路9号,2483,润邦股份,2010-09-29,360000000,90000000,,,,0,0,华东,江苏,南通市,C 制造业,www.jiangsurhi.com
2484,江海股份,南通江海电容器股份有限公司,"Nantong Jianghai Capacitor Co.,Ltd.",江苏省南通市通州区平潮通扬南路79号,2484,江海股份,2010-09-29,208000000,52000000,,,,0,0,华东,江苏,南通市,C 制造业,www.jianghai.com
2485,希努尔,希努尔男装股份有限公司,"Sinoer Men""s Wear Co.,Ltd.",山东省诸城市东环路58号,2485,希努尔,2010-10-15,320000000,100400000,,,,0,0,华东,山东,潍坊市,C 制造业,www.sinoer.com
2486,嘉麟杰,上海嘉麟杰纺织品股份有限公司,Shanghai Challenge Textile Company Limited,上海市金山区亭林镇亭枫公路1918号,2486,嘉麟杰,2010-10-15,416000000,269495000,,,,0,0,华东,上海,上海市,C 制造业,www.challenge-21c.com
2487,大金重工,辽宁大金重工股份有限公司,Dajin Heavy Industry Corporation,辽宁省阜新市新邱区新邱大街155号,2487,大金重工,2010-10-15,360000000,175833000,,,,0,0,东北,辽宁,阜新市,C 制造业,www.dajin.cn
2488,金固股份,浙江金固股份有限公司,Zhejiang Jingu Company Limited,浙江省富阳市富春街道公园西路1181号,2488,金固股份,2010-10-21,180000000,87907500,,,,0,0,华东,浙江,富阳市,C 制造业,www.jgwheel.com
2489,浙江永强,浙江永强集团股份有限公司,"YOTRIO GROUP CO., LTD",浙江省临海市前江南路1号,2489,浙江永强,2010-10-21,478183847,137477856,,,,0,0,华东,浙江,台州市,C 制造业,www.yotrio.com
