"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BSDM","BSD Medical Corporation","1.27","37786552.57","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/bsdm",
"BSQR","BSQUARE Corporation","2.9","32321758.6","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bsqr",
"BTUI","BTU International, Inc.","2.5","23827430","n/a","1989","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btui",
"BUR","Burcon Nutrascience Corp","2.48","78429238.64","n/a","1992","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/bur",
"CDZI","Cadiz, Inc.","6.05","93489173.8","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cdzi",
"CFNB","California First National Bancorp","16.57","173110551.39","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfnb",
"CALD","Callidus Software, Inc.","5.78","217093603.66","n/a","2000","Technology","EDP Services","http://www.nasdaq.com/symbol/cald",
"ABCD","Cambium Learning Group, Inc.","1.46","68480380.2","n/a","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/abcd",
"CAFI","Camco Financial Corporation","3.34","45249007.38","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/cafi",
"CAMT","Camtek Ltd.","2.02","60394970","n/a","2000","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/camt",
"CPHC","Canterbury Park Holding Corporation","10.56","43827009.6","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/cphc",
"CPST","Capstone Turbine Corporation","1.22","371570920.16","n/a","1986","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cpst",
"CARB","Carbonite, Inc.","10.67","277097563.27","n/a","1992","Technology","EDP Services","http://www.nasdaq.com/symbol/carb",
"CRDC","Cardica, Inc.","1.25","63825767.5","n/a","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/crdc",
"BEAT","CardioNet, Inc.","2.85","72334872.45","n/a","2008","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/beat",
"CSII","Cardiovascular Systems, Inc.","19.92","420126425.28","n/a","1981","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/csii",
"CLBH","Carolina Bank Holdings Inc.","12.52","42427437.96","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/clbh",
"CRRB","Carrollton Bancorp","5.22","48835078.38","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/crrb",
"CASM","CAS Medical Systems, Inc.","1.75","23971421.25","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/casm",
"CSCD","Cascade Microtech, Inc.","6.65","95057008.55","n/a","2004","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cscd",
"CECE","CECO Environmental Corp.","12.24","217064184.48","n/a","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/cece",
"CELGZ","Celgene Corporation","7.4","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celgz",
"CEMP","Cempra, Inc.","7.7","191759059.8","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cemp",
"CERE","Ceres, Inc.","2.09","51836150.74","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/cere",
"CERS","Cerus Corporation","5.17","360431720","n/a","1997","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cers",
"CITZ","CFS Bancorp, Inc.","10.56","115079395.2","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/citz",
"CHRM","Charm Communications Inc.","5.14","49216820.98","9575257","2010","Technology","Advertising","http://www.nasdaq.com/symbol/chrm",
"CHMG","Chemung Financial Corp","33.44","153581760.64","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/chmg",
"CBNK","Chicopee Bancorp, Inc.","17.1501","93100775.6085","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/cbnk",
"CMRX","Chimerix, Inc.","22.07","567694493.57","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cmrx",
"CALI","China Auto Logistics Inc.","3.15","11637341.1","n/a","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/cali",
"CBAK","China BAK Battery, Inc.","1","12619597","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cbak",
"CCCL","China Ceramics Co., Ltd.","2.22","45356460.36","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cccl",
"CMGE","China Mobile Games and Entertainment Group Limited","13.77","21684183.57","1574741","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cmge",
"CREG","China Recycling Energy Corporation","0.96","48215376","n/a","1996","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
"CPGI","China Shengda Packaging Group, Inc.","1.2","46548973.2","n/a","2010","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cpgi",
"CXDC","China XD Plastics Company Limited","4.25","203102281","n/a","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cxdc",
"CCIH","ChinaCache International Holdings Ltd.","4.6","65917038.6","14329791","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/ccih",
"CEDU","ChinaEdu Corporation","5.92","62863331.52","10618806","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cedu",
"CNET","ChinaNet Online Holdings, Inc.","0.578","12823820.12","n/a","1996","Technology","Advertising","http://www.nasdaq.com/symbol/cnet",
"CHYR","ChyronHego Corporation","1.47","25629408.84","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/chyr",
"CIDM","Cinedigm Digital Cinema Corp","1.5","72510553.5","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cidm",
"CZWI","Citizens Community Bancorp, Inc.","7.16","36913594.8","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/czwi",
"CZFC","Citizens First Corporation","8.55","16833043.35","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/czfc",
"CIZN","Citizens Holding Company","19.0414","92705226.6196","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cizn",
"CLFD","Clearfield, Inc.","8.1","104266367.1","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/clfd",
"COBR","Cobra Electronics Corporation","3.06","20228374.8","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/cobr",
"CVLY","Codorus Valley Bancorp, Inc","17.4","78328309.8","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cvly",
"CCIX","Coleman Cable, Inc.","18.46","320970997.88","n/a","1993","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/ccix",
"CLCT","Collectors Universe, Inc.","13.44","114103503.36","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/clct",
"COBK","Colonial Financial Services, Inc.","14","53942812","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cobk",
"CBAN","Colony Bankcorp, Inc.","6.9999","59073962.0742","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cban",
"JCS","Communications Systems, Inc.","10.25","87422629.25","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/jcs",
"CWBC","Community West Bancshares","4.69","28299089.49","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cwbc",
"CNSI","Comverse Inc.","30.07","667213727.88","n/a","1991","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cnsi",
"CCUR","Concurrent Computer Corporation","7.62","70302531.48","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/ccur",
"CNOB","ConnectOne Bancorp, Inc.","29.12","146215655.04","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cnob",
"CPSS","Consumer Portfolio Services, Inc.","7.52","152485296","n/a","1992","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cpss",
"COSI","Cosi, Inc.","2.17","39718523.39","n/a","1993","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/cosi",
"BREW","Craft Brew Alliance, Inc.","7.78","147128210.18","n/a","1994","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/brew",
"GLDI","Credit Suisse Gold Shares Covered Calls ETN","17.0199","230200989.4998","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/gldi",
"SLVO","Credit Suisse Silver Shares Covered Call ETN","19.35","14456365.65","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/slvo",
"CRFN","Crescent Financial Bancshares, Inc.","4.15","191062995.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/crfn",
"CXPO","Crimson Exploration Inc.","2.95","137538324.95","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cxpo",
"ATX","Cross (A.T.) Company","14.15","156793503.95","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/atx",
"CRWN","Crown Media Holdings, Inc.","2.07","744529187.52","n/a","1983","Consumer Services","Television Services","http://www.nasdaq.com/symbol/crwn",
"CSPI","CSP Inc.","8.06","27829906.52","n/a","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/cspi",
"CRIS","Curis, Inc.","3.93","316515676.2","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cris",
"CYBE","CyberOptics Corporation","6.33","43839041.67","n/a","1987","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/cybe",
"CYCC","Cyclacel Pharmaceuticals, Inc.","3.44","60939992.16","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cycc",
