公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
300137,先河环保,河北先河环保科技股份有限公司,"Hebei Sailhero Environmental Protection High-tech Co., ltd.",河北省石家庄市高新技术开发区湘江道251号,300137,先河环保,2010-11-05,156000000,111644184,,,,0,0,华北,河北,石家庄市,C 制造业,www.sailhero.com.cn
300138,晨光生物,晨光生物科技集团股份有限公司,"CHENGUANG BIOTECH GROUP CO.,LTD",河北省曲周县城晨光路1号,300138,晨光生物,2010-11-05,179570872,53000000,,,,0,0,华北,河北,邯郸市,C 制造业,www.cn-cg.com
300139,福星晓程,北京福星晓程电子科技股份有限公司,"Beijing Fuxing Xiaocheng Electronic Technology Stock Co., Ltd",北京市海淀区西三环北路87号国际财经中心D座503,300139,福星晓程,2010-11-12,109600000,41952300,,,,0,0,华北,北京,北京市,C 制造业,www.xiaocheng.com
300140,启源装备,西安启源机电装备股份有限公司,"XI"" AN QIYUAN MECHANICAL AND ELECTRICAL EQUIPMENT CO.,LTD.",陕西省西安市经济技术开发区凤城十二路98号,300140,启源装备,2010-11-12,122000000,64832776,,,,0,0,西北,陕西,西安市,C 制造业,www.sdricom.com
300141,和顺电气,苏州工业园区和顺电气股份有限公司,"Suzhou Industrial Park Heshun Electric Co.,Ltd.",江苏省苏州工业园区和顺路8号,300141,和顺电气,2010-11-12,165600000,54046978,,,,0,0,华东,江苏,苏州市,C 制造业,www.cnheshun.com
300142,沃森生物,云南沃森生物技术股份有限公司,"Walvax Biotechnology Co.,Ltd.",云南省昆明市高新开发区北区云南大学科技园2期A3幢4楼,300142,沃森生物,2010-11-12,182232000,64342952,,,,0,0,西南,云南,昆明市,C 制造业,www.walvax.com
300143,星河生物,广东星河生物科技股份有限公司,"Starway Bio-technology Co., Ltd",广东省东莞市塘厦镇蛟坪大道83号,300143,星河生物,2010-12-09,147400000,83813799,,,,0,0,华南,广东,东莞市,A 农林牧渔,www.starway.com.cn
300144,宋城股份,杭州宋城旅游发展股份有限公司,"Hangzhou Songcheng Tourism Development Co., Ltd.",浙江省杭州市之江路148号,300144,宋城股份,2010-12-09,558216000,173552500,,,,0,0,华东,浙江,杭州市,N 公共环保,www.chinascgf.com
300145,南方泵业,南方泵业股份有限公司,"Nanfang Pump Industry Co., Ltd.",浙江省杭州余杭区仁和镇,300145,南方泵业,2010-12-09,144000000,67764015,,,,0,0,华东,浙江,杭州市,C 制造业,www.nanfang-pump.com
300146,汤臣倍健,汤臣倍健股份有限公司,"BY-HEALTH CO.,LTD",广东省珠海市金湾区三灶科技工业园星汉路19号,300146,汤臣倍健,2010-12-15,328080000,110882328,,,,0,0,华南,广东,珠海市,C 制造业,www.by-health.com.cn
300147,香雪制药,广州市香雪制药股份有限公司,"Xiangxue Pharmaceutical Co., Ltd.",广东省广州市萝岗区广州经济技术开发区科学城金峰园路2号,300147,香雪制药,2010-12-15,301581000,183852000,,,,0,0,华南,广东,广州市,C 制造业,www.xphcn.com
300148,天舟文化,湖南天舟科教文化股份有限公司,"TANGEL PUBLISHING CO.,LTD",湖南省长沙县星沙镇茶叶大市场办公楼502、602号,300148,天舟文化,2010-12-15,152100000,51994928,,,,0,0,华中,湖南,长沙市,R 文化传播,www.t-angel.com
300149,量子高科,量子高科（中国）生物股份有限公司,"Quanturn Hi-Tech （China）Biological Co.,Ltd",广东省江门市高新区高新西路133号,300149,量子高科,2010-12-22,201000000,62648812,,,,0,0,华南,广东,江门市,C 制造业,www.qht.cc
300150,世纪瑞尔,北京世纪瑞尔技术股份有限公司,"Beijing Century Real Technology Co.,Ltd.",北京市海淀区上地信息路22号上地科技综合楼B座九、十层,300150,世纪瑞尔,2010-12-22,270000000,149620236,,,,0,0,华北,北京,北京市,I 信息技术,www.c-real.com.cn
300151,昌红科技,深圳市昌红科技股份有限公司,"SHENZHEN CHANGHONG TECHNOLOGY Co.,Ltd.",广东省深圳市坪山新区坪山锦龙大道西侧,300151,昌红科技,2010-12-22,100500000,40094625,,,,0,0,华南,广东,深圳市,C 制造业,www.sz-changhong.com
